CrimeDate,CrimeTime,CrimeCode,Location,Description,Weapon,Post,District,Neighborhood,Longitude,Latitude,Premise,Total Incidents
10/8/2023,15:14:00,05,7240 N BALTIMORE ST,SHOOTING,FIREARM,498,CENTRAL,Berea,-76.499161,39.403743,STORE,1
3/20/2022,17:01:00,07,9797 N BALTIMORE ST,LARCENY,FIREARM,758,NORTHWESTERN,Guilford,-76.471416,39.460055,ALLEY,1
6/7/2022,14:20:00,06,6311 N BALTIMORE ST,BURGLARY,NONE,358,SOUTHERN,Harlem Park,-76.349527,39.341092,STREET,1
11/2/2019,00:15:00,04,433 N BALTIMORE ST,ASSAULT,KNIFE,229,NORTHWESTERN,Pimlico,-76.457932,39.234317,ALLEY,1
6/6/2021,19:38:00,02,2783 N BALTIMORE ST,BURGLARY,FIREARM,692,CENTRAL,Johnston Square,-76.592296,39.293587,STORE,1
2/19/2020,22:53:00,04,1769 N BALTIMORE ST,BURGLARY,FIREARM,679,CENTRAL,Govans,-76.365209,39.304161,STORE,1
9/21/2019,10:00:00,07,8131 N BALTIMORE ST,ROBBERY,NONE,470,SOUTHERN,Eastwood,-76.409324,39.448612,ALLEY,1
11/9/2023,19:51:00,09,8021 N BALTIMORE ST,SHOOTING,NONE,848,NORTHWESTERN,Greenmount West,-76.422258,39.296691,ALLEY,1
8/8/2021,14:36:00,07,5611 N BALTIMORE ST,LARCENY,NONE,432,NORTHEASTERN,Homeland,-76.545448,39.263636,HOUSE,1
12/9/2023,17:00:00,09,3230 N BALTIMORE ST,ROBBERY,KNIFE,837,SOUTHERN,Park Heights,-76.478072,39.366553,ALLEY,1
8/26/2022,00:05:00,05,3730 N BALTIMORE ST,AGG. ASSAULT,KNIFE,413,EASTERN,Pen Lucy,-76.400812,39.310706,HOUSE,1
6/12/2023,22:29:00,05,5123 N BALTIMORE ST,BURGLARY,KNIFE,223,CENTRAL,Greenmount West,-76.383615,39.294664,ALLEY,1
5/24/2022,18:48:00,09,9877 N BALTIMORE ST,BURGLARY,FIREARM,298,NORTHWESTERN,Brooklyn,-76.511126,39.308264,HOUSE,1
3/9/2023,01:03:00,09,4886 N BALTIMORE ST,ASSAULT,NONE,205,CENTRAL,Sandtown-Winchester,-76.338184,39.372219,STORE,1
3/2/2021,08:55:00,08,1969 N BALTIMORE ST,ROBBERY,NONE,603,EASTERN,Oliver,-76.577775,39.388834,STREET,1
5/3/2023,07:07:00,09,6918 N BALTIMORE ST,COMMON ASSAULT,NONE,561,NORTHWESTERN,Belair-Edison,-76.327449,39.289206,STORE,1
1/20/2023,23:06:00,04,3557 N BALTIMORE ST,BURGLARY,FIREARM,260,WESTERN,Westport,-76.52804,39.365598,ALLEY,1
12/20/2022,15:18:00,01,3892 N BALTIMORE ST,BURGLARY,HANDS,819,EASTERN,Sandtown-Winchester,-76.342118,39.221354,ALLEY,1
11/26/2023,06:27:00,02,9022 N BALTIMORE ST,COMMON ASSAULT,KNIFE,372,SOUTHERN,Hampden,-76.352011,39.221423,ALLEY,1
12/27/2023,18:58:00,05,7295 N BALTIMORE ST,ROBBERY,NONE,805,SOUTHERN,Waverly,-76.508773,39.320753,HOUSE,1
8/3/2022,19:02:00,07,5380 N BALTIMORE ST,BURGLARY,FIREARM,193,WESTERN,Middle East,-76.531323,39.40229,STREET,1
10/2/2021,05:30:00,09,7345 N BALTIMORE ST,BURGLARY,KNIFE,699,CENTRAL,Charles Village,-76.469235,39.444273,STREET,1
6/11/2022,21:06:00,03,5503 N BALTIMORE ST,AGG. ASSAULT,NONE,395,SOUTHERN,Oliver,-76.401225,39.320136,STREET,1
5/11/2021,03:49:00,07,8531 N BALTIMORE ST,LARCENY,NONE,523,NORTHEASTERN,Johnston Square,-76.583739,39.355532,STORE,1
4/9/2019,17:08:00,05,7278 N BALTIMORE ST,SHOOTING,FIREARM,129,EASTERN,Clifton Park,-76.308056,39.382662,ALLEY,1
9/1/2021,17:26:00,02,3781 N BALTIMORE ST,ROBBERY,NONE,220,NORTHWESTERN,Pen Lucy,-76.405687,39.246191,HOUSE,1
7/27/2021,15:30:00,04,7583 N BALTIMORE ST,HOMICIDE,KNIFE,492,CENTRAL,Middle East,-76.542817,39.379813,ALLEY,1
7/11/2021,16:17:00,01,4734 N BALTIMORE ST,BURGLARY,NONE,252,NORTHEASTERN,Mount Washington,-76.466036,39.345302,HOUSE,1
7/15/2023,10:55:00,04,4012 N BALTIMORE ST,AGG. ASSAULT,KNIFE,894,NORTHERN,Berea,-76.476767,39.295453,STORE,1
7/22/2022,20:09:00,08,706 N BALTIMORE ST,ASSAULT,HANDS,202,NORTHERN,Pen Lucy,-76.337743,39.332092,STORE,1
7/28/2020,20:09:00,02,7792 N BALTIMORE ST,BURGLARY,HANDS,738,CENTRAL,Sandtown-Winchester,-76.392189,39.394951,HOUSE,1
7/11/2023,20:45:00,08,8964 N BALTIMORE ST,LARCENY,FIREARM,340,CENTRAL,Mount Washington,-76.410652,39.476279,ALLEY,1
2/25/2022,20:45:00,02,7369 N BALTIMORE ST,ASSAULT,HANDS,129,NORTHEASTERN,Guilford,-76.586203,39.438843,HOUSE,1
3/8/2022,16:26:00,03,2885 N BALTIMORE ST,ASSAULT,FIREARM,724,SOUTHERN,Pimlico,-76.338748,39.385913,ALLEY,1
4/15/2020,20:16:00,08,4283 N BALTIMORE ST,LARCENY,NONE,394,WESTERN,Oliver,-76.396717,39.247393,STORE,1
11/14/2021,22:16:00,08,5049 N BALTIMORE ST,COMMON ASSAULT,NONE,594,WESTERN,Pimlico,-76.568004,39.314409,HOUSE,1
1/27/2021,21:25:00,05,232 N BALTIMORE ST,LARCENY,NONE,393,SOUTHERN,Morrell Park,-76.367278,39.269036,HOUSE,1
10/9/2020,21:48:00,03,1691 N BALTIMORE ST,LARCENY,HANDS,551,CENTRAL,Curtis Bay,-76.589991,39.309458,ALLEY,1
12/14/2021,05:12:00,03,8937 N BALTIMORE ST,AUTO THEFT,HANDS,268,SOUTHERN,Upton,-76.522909,39.447407,STORE,1
2/15/2021,02:09:00,04,6611 N BALTIMORE ST,HOMICIDE,HANDS,192,SOUTHERN,Waverly,-76.362795,39.204176,STREET,1
10/13/2021,20:23:00,02,3930 N BALTIMORE ST,SHOOTING,FIREARM,734,SOUTHERN,Johnston Square,-76.33473,39.368422,ALLEY,1
12/10/2022,20:26:00,02,2390 N BALTIMORE ST,LARCENY,FIREARM,411,NORTHEASTERN,Clifton Park,-76.301222,39.234836,ALLEY,1
7/15/2020,11:42:00,09,6966 N BALTIMORE ST,ASSAULT,NONE,770,WESTERN,Roland Park,-76.570294,39.346804,STORE,1
4/15/2021,14:15:00,06,1727 N BALTIMORE ST,AUTO THEFT,HANDS,162,NORTHEASTERN,Pigtown,-76.480558,39.256943,STREET,1
2/22/2022,06:41:00,01,928 N BALTIMORE ST,AUTO THEFT,KNIFE,228,NORTHERN,Mount Washington,-76.363907,39.261562,ALLEY,1
6/25/2020,04:50:00,01,4642 N BALTIMORE ST,ASSAULT,KNIFE,653,NORTHWESTERN,Morrell Park,-76.524804,39.252349,STREET,1
4/19/2021,10:01:00,03,4447 N BALTIMORE ST,LARCENY,KNIFE,859,NORTHEASTERN,Belair-Edison,-76.473712,39.234095,STREET,1
9/19/2021,03:28:00,09,3729 N BALTIMORE ST,LARCENY,HANDS,569,EASTERN,Oliver,-76.406998,39.209345,STORE,1
11/4/2022,15:45:00,08,1304 N BALTIMORE ST,ROBBERY,HANDS,722,EASTERN,Mount Washington,-76.5555,39.237857,HOUSE,1
5/15/2023,16:38:00,07,1724 N BALTIMORE ST,ROBBERY,KNIFE,540,WESTERN,Govans,-76.464534,39.268548,HOUSE,1
7/24/2022,03:20:00,07,5220 N BALTIMORE ST,BURGLARY,HANDS,256,EASTERN,Homeland,-76.393954,39.34228,STREET,1
7/4/2019,23:47:00,06,2231 N BALTIMORE ST,HOMICIDE,FIREARM,700,NORTHEASTERN,Homeland,-76.313013,39.368505,STREET,1
12/2/2022,09:38:00,05,5861 N BALTIMORE ST,ROBBERY,KNIFE,258,SOUTHERN,Greenmount West,-76.402979,39.267273,STREET,1
6/4/2023,08:36:00,04,7130 N BALTIMORE ST,HOMICIDE,FIREARM,723,NORTHERN,Pimlico,-76.321275,39.448838,HOUSE,1
12/25/2021,09:58:00,06,5851 N BALTIMORE ST,LARCENY,KNIFE,246,NORTHWESTERN,Sandtown-Winchester,-76.430104,39.320235,ALLEY,1
2/24/2019,16:13:00,07,6978 N BALTIMORE ST,SHOOTING,HANDS,261,CENTRAL,Guilford,-76.488984,39.416479,STREET,1
3/25/2020,19:03:00,02,4558 N BALTIMORE ST,SHOOTING,NONE,597,NORTHEASTERN,Roland Park,-76.417877,39.324255,ALLEY,1
6/14/2019,03:18:00,08,8733 N BALTIMORE ST,BURGLARY,FIREARM,325,WESTERN,Charles Village,-76.481421,39.379797,STREET,1
3/25/2020,08:18:00,06,2065 N BALTIMORE ST,LARCENY,NONE,864,SOUTHERN,Brooklyn,-76.470803,39.238756,ALLEY,1
2/13/2021,23:02:00,07,407 N BALTIMORE ST,SHOOTING,FIREARM,420,WESTERN,Middle East,-76.427272,39.37202,STORE,1
1/11/2022,05:51:00,08,6028 N BALTIMORE ST,ROBBERY,NONE,208,NORTHEASTERN,Westport,-76.527005,39.376661,STREET,1
12/11/2021,07:21:00,03,1351 N BALTIMORE ST,HOMICIDE,FIREARM,643,NORTHERN,Govans,-76.447014,39.471777,HOUSE,1
4/4/2020,04:16:00,04,2942 N BALTIMORE ST,ASSAULT,FIREARM,281,CENTRAL,Pimlico,-76.314612,39.388385,STORE,1
8/22/2023,18:41:00,06,5279 N BALTIMORE ST,ASSAULT,NONE,169,WESTERN,Charles Village,-76.459324,39.389416,HOUSE,1
9/3/2021,09:29:00,08,716 N BALTIMORE ST,LARCENY,HANDS,393,NORTHEASTERN,Morrell Park,-76.576981,39.459275,STREET,1
7/15/2023,18:35:00,01,7468 N BALTIMORE ST,COMMON ASSAULT,HANDS,719,WESTERN,Irvington,-76.457311,39.245258,STREET,1
12/3/2021,16:41:00,03,741 N BALTIMORE ST,COMMON ASSAULT,NONE,549,NORTHEASTERN,Johnston Square,-76.442779,39.382942,HOUSE,1
7/25/2022,10:43:00,01,5582 N BALTIMORE ST,ROBBERY,HANDS,196,SOUTHERN,Pimlico,-76.432611,39.315969,HOUSE,1
3/11/2023,02:37:00,03,5831 N BALTIMORE ST,BURGLARY,NONE,232,NORTHERN,Guilford,-76.421488,39.481401,HOUSE,1
3/22/2021,22:53:00,09,1631 N BALTIMORE ST,AGG. ASSAULT,HANDS,118,EASTERN,Berea,-76.491221,39.254079,ALLEY,1
4/8/2022,04:09:00,02,4946 N BALTIMORE ST,ROBBERY,FIREARM,777,NORTHERN,Park Heights,-76.498971,39.429892,ALLEY,1
3/6/2020,22:49:00,03,7270 N BALTIMORE ST,LARCENY,NONE,473,EASTERN,Irvington,-76.397091,39.271259,STORE,1
4/18/2022,07:19:00,08,3278 N BALTIMORE ST,AUTO THEFT,NONE,572,SOUTHERN,Irvington,-76.369168,39.433437,STORE,1
10/5/2020,08:03:00,08,6181 N BALTIMORE ST,HOMICIDE,FIREARM,828,NORTHERN,Cherry Hill,-76.346232,39.45535,HOUSE,1
5/15/2020,16:09:00,07,1602 N BALTIMORE ST,COMMON ASSAULT,NONE,457,NORTHERN,Upton,-76.320858,39.324469,STORE,1
7/3/2020,11:14:00,01,5321 N BALTIMORE ST,ROBBERY,HANDS,249,SOUTHERN,Middle East,-76.55872,39.286064,STORE,1
12/16/2020,14:39:00,01,1398 N BALTIMORE ST,LARCENY,HANDS,320,NORTHERN,Pen Lucy,-76.349511,39.364641,STORE,1
4/10/2021,03:03:00,04,6978 N BALTIMORE ST,SHOOTING,FIREARM,213,NORTHERN,Druid Heights,-76.348994,39.349949,STREET,1
4/23/2023,04:18:00,07,125 N BALTIMORE ST,AUTO THEFT,KNIFE,684,WESTERN,Clifton Park,-76.47503,39.399311,STREET,1
9/18/2019,16:50:00,09,9179 N BALTIMORE ST,LARCENY,NONE,581,SOUTHERN,Middle East,-76.58694,39.316064,HOUSE,1
6/26/2019,02:22:00,04,1798 N BALTIMORE ST,AUTO THEFT,KNIFE,145,CENTRAL,Pigtown,-76.49431,39.301564,ALLEY,1
12/16/2022,20:11:00,03,1133 N BALTIMORE ST,SHOOTING,FIREARM,400,NORTHERN,Homeland,-76.539523,39.437333,STREET,1
7/27/2023,17:30:00,05,699 N BALTIMORE ST,COMMON ASSAULT,HANDS,465,SOUTHERN,Park Heights,-76.341358,39.214341,HOUSE,1
7/13/2021,23:28:00,07,5654 N BALTIMORE ST,ASSAULT,NONE,808,NORTHEASTERN,Pigtown,-76.450743,39.477293,HOUSE,1
2/14/2022,19:52:00,03,9037 N BALTIMORE ST,BURGLARY,HANDS,205,NORTHEASTERN,Waverly,-76.575979,39.398276,HOUSE,1
3/23/2022,14:22:00,08,793 N BALTIMORE ST,AUTO THEFT,NONE,381,WESTERN,Johnston Square,-76.408159,39.437443,STREET,1
6/17/2022,23:43:00,03,610 N BALTIMORE ST,ASSAULT,NONE,135,CENTRAL,Upton,-76.562131,39.270799,HOUSE,1
1/20/2023,04:43:00,08,6177 N BALTIMORE ST,AUTO THEFT,NONE,881,EASTERN,Pimlico,-76.576934,39.241309,HOUSE,1
4/4/2021,00:47:00,03,8276 N BALTIMORE ST,HOMICIDE,NONE,675,SOUTHERN,Govans,-76.564672,39.432489,STORE,1
12/16/2021,06:07:00,03,1313 N BALTIMORE ST,SHOOTING,KNIFE,830,WESTERN,Brooklyn,-76.466467,39.226337,HOUSE,1
9/18/2019,09:57:00,05,2680 N BALTIMORE ST,ASSAULT,HANDS,620,SOUTHERN,Eastwood,-76.532728,39.49554,ALLEY,1
1/12/2022,17:36:00,06,7757 N BALTIMORE ST,HOMICIDE,KNIFE,726,NORTHERN,Curtis Bay,-76.334726,39.219724,STORE,1
9/14/2022,13:52:00,02,2153 N BALTIMORE ST,AUTO THEFT,FIREARM,560,CENTRAL,Pen Lucy,-76.46025,39.355208,ALLEY,1
11/19/2023,05:49:00,03,7188 N BALTIMORE ST,HOMICIDE,FIREARM,227,NORTHERN,Roland Park,-76.444569,39.291237,ALLEY,1
6/17/2020,09:54:00,02,4205 N BALTIMORE ST,COMMON ASSAULT,HANDS,228,CENTRAL,Park Heights,-76.412493,39.384328,STREET,1
10/19/2020,04:10:00,06,9334 N BALTIMORE ST,LARCENY,FIREARM,183,CENTRAL,Middle East,-76.586361,39.392436,HOUSE,1
7/20/2023,20:01:00,08,9038 N BALTIMORE ST,BURGLARY,HANDS,594,NORTHWESTERN,Clifton Park,-76.526537,39.442205,STORE,1
12/2/2019,05:28:00,07,8033 N BALTIMORE ST,SHOOTING,KNIFE,448,EASTERN,Westport,-76.418002,39.293775,HOUSE,1
7/5/2021,11:32:00,09,1839 N BALTIMORE ST,AUTO THEFT,KNIFE,577,NORTHERN,Guilford,-76.563243,39.334879,ALLEY,1
7/28/2021,19:26:00,04,2716 N BALTIMORE ST,AUTO THEFT,HANDS,294,NORTHEASTERN,Druid Heights,-76.371064,39.34948,STORE,1
1/3/2022,12:32:00,08,4044 N BALTIMORE ST,COMMON ASSAULT,HANDS,149,SOUTHERN,Oliver,-76.584838,39.348468,STORE,1
2/14/2019,04:56:00,05,6092 N BALTIMORE ST,AGG. ASSAULT,HANDS,146,WESTERN,Westport,-76.479826,39.371084,ALLEY,1
2/13/2021,16:28:00,09,4682 N BALTIMORE ST,ROBBERY,KNIFE,199,WESTERN,Pimlico,-76.481829,39.438469,HOUSE,1
4/20/2020,16:25:00,09,759 N BALTIMORE ST,LARCENY,FIREARM,240,SOUTHERN,Berea,-76.385922,39.44119,STORE,1
3/11/2023,19:20:00,03,6538 N BALTIMORE ST,BURGLARY,HANDS,619,WESTERN,Belair-Edison,-76.351513,39.359702,HOUSE,1
6/11/2019,21:07:00,07,9663 N BALTIMORE ST,BURGLARY,FIREARM,711,NORTHERN,Oliver,-76.457623,39.490121,ALLEY,1
8/6/2023,16:40:00,07,2521 N BALTIMORE ST,COMMON ASSAULT,FIREARM,686,NORTHEASTERN,Guilford,-76.315538,39.232969,STREET,1
3/14/2022,22:13:00,07,8321 N BALTIMORE ST,SHOOTING,FIREARM,822,SOUTHERN,Johnston Square,-76.558575,39.262203,HOUSE,1
7/11/2023,05:29:00,09,5708 N BALTIMORE ST,HOMICIDE,HANDS,792,EASTERN,Eastwood,-76.368403,39.416277,HOUSE,1
4/9/2020,17:19:00,04,4976 N BALTIMORE ST,BURGLARY,KNIFE,806,EASTERN,Irvington,-76.388504,39.295112,HOUSE,1
5/4/2021,18:43:00,09,6320 N BALTIMORE ST,AGG. ASSAULT,HANDS,891,NORTHERN,Berea,-76.358615,39.287136,HOUSE,1
8/21/2021,08:47:00,08,3605 N BALTIMORE ST,COMMON ASSAULT,HANDS,675,NORTHEASTERN,Pen Lucy,-76.391149,39.241182,ALLEY,1
4/21/2023,07:03:00,02,6871 N BALTIMORE ST,AUTO THEFT,NONE,202,NORTHEASTERN,Curtis Bay,-76.395642,39.24124,ALLEY,1
8/21/2022,06:48:00,05,5362 N BALTIMORE ST,BURGLARY,FIREARM,887,CENTRAL,Greenmount West,-76.573162,39.37224,STREET,1
3/2/2022,12:50:00,08,3152 N BALTIMORE ST,BURGLARY,FIREARM,109,NORTHWESTERN,Hampden,-76.510482,39.380835,HOUSE,1
9/16/2023,04:54:00,09,7768 N BALTIMORE ST,BURGLARY,KNIFE,215,EASTERN,Westport,-76.500795,39.419336,HOUSE,1
12/11/2019,09:36:00,04,2975 N BALTIMORE ST,AGG. ASSAULT,NONE,627,NORTHWESTERN,Pen Lucy,-76.501622,39.32025,STREET,1
6/8/2022,00:16:00,07,3958 N BALTIMORE ST,SHOOTING,HANDS,437,NORTHWESTERN,Cherry Hill,-76.509416,39.416865,STREET,1
12/8/2021,01:42:00,02,7725 N BALTIMORE ST,BURGLARY,KNIFE,515,CENTRAL,Pigtown,-76.394178,39.476932,HOUSE,1
6/20/2021,07:14:00,03,7934 N BALTIMORE ST,ASSAULT,NONE,865,NORTHEASTERN,Pen Lucy,-76.303349,39.312087,STORE,1
4/22/2020,19:55:00,02,8709 N BALTIMORE ST,SHOOTING,HANDS,179,WESTERN,Charles Village,-76.324827,39.233663,ALLEY,1
3/11/2020,16:28:00,02,3465 N BALTIMORE ST,SHOOTING,FIREARM,622,WESTERN,Morrell Park,-76.466355,39.216691,ALLEY,1
10/2/2022,17:29:00,05,456 N BALTIMORE ST,AGG. ASSAULT,HANDS,103,EASTERN,Middle East,-76.376259,39.373493,STREET,1
9/2/2019,02:59:00,08,619 N BALTIMORE ST,BURGLARY,NONE,284,SOUTHERN,Greenmount West,-76.369308,39.429748,STORE,1
7/13/2022,02:43:00,09,2278 N BALTIMORE ST,AUTO THEFT,FIREARM,282,EASTERN,Pimlico,-76.302146,39.317918,ALLEY,1
1/10/2019,14:43:00,09,7048 N BALTIMORE ST,HOMICIDE,NONE,335,NORTHWESTERN,Guilford,-76.525746,39.303848,HOUSE,1
1/26/2019,21:26:00,01,4043 N BALTIMORE ST,COMMON ASSAULT,FIREARM,203,CENTRAL,Brooklyn,-76.421817,39.333932,STREET,1
7/15/2019,07:34:00,04,1024 N BALTIMORE ST,ASSAULT,HANDS,339,CENTRAL,Curtis Bay,-76.355264,39.419455,HOUSE,1
4/10/2021,04:42:00,09,3721 N BALTIMORE ST,AGG. ASSAULT,HANDS,381,WESTERN,Morrell Park,-76.581713,39.484556,ALLEY,1
9/16/2022,01:22:00,07,8692 N BALTIMORE ST,AUTO THEFT,NONE,518,CENTRAL,Clifton Park,-76.555235,39.312938,STORE,1
5/28/2020,22:09:00,08,1044 N BALTIMORE ST,HOMICIDE,NONE,526,NORTHERN,Curtis Bay,-76.432814,39.240228,ALLEY,1
11/3/2021,14:54:00,06,1614 N BALTIMORE ST,HOMICIDE,KNIFE,152,NORTHWESTERN,Pigtown,-76.519462,39.402102,STREET,1
10/24/2020,21:35:00,04,7954 N BALTIMORE ST,COMMON ASSAULT,HANDS,410,NORTHEASTERN,Mount Washington,-76.312894,39.2046,ALLEY,1
4/23/2022,19:45:00,04,6598 N BALTIMORE ST,COMMON ASSAULT,HANDS,894,NORTHEASTERN,Guilford,-76.515082,39.339875,HOUSE,1
9/16/2021,14:06:00,08,5346 N BALTIMORE ST,COMMON ASSAULT,HANDS,420,SOUTHERN,Westport,-76.475821,39.368757,ALLEY,1
5/18/2019,18:37:00,07,4936 N BALTIMORE ST,ASSAULT,KNIFE,437,NORTHWESTERN,Guilford,-76.530994,39.370937,ALLEY,1
5/25/2021,15:46:00,08,7650 N BALTIMORE ST,ASSAULT,HANDS,273,WESTERN,Oliver,-76.558012,39.363964,ALLEY,1
9/2/2019,02:52:00,01,204 N BALTIMORE ST,AGG. ASSAULT,KNIFE,745,WESTERN,Hampden,-76.53057,39.412151,STREET,1
6/2/2022,19:40:00,08,8093 N BALTIMORE ST,LARCENY,FIREARM,644,WESTERN,Brooklyn,-76.434507,39.203555,HOUSE,1
