SRRecordID,SRStatus,Method Received,ServiceRequest,SRType,SRCreatedDate,SRUpdatedDate,SRDueDate,SRClosedDate,Neighborhood,District,CouncilDistrict,PoliceDistrict,PolicePostCode,Latitude,Longitude,Location
SR-100026,Closed,Phone,Dirty Street,Dirty Street Request,1/1/2019,1/1/2019,1/1/2019,1/1/2019,Charles Village,CENTRAL,1,CENTRAL,561,39.401457,-76.310147,"39.401457, -76.310147"
SR-100027,Open,Phone,Street Light Out,Street Light Out Request,6/9/2023,6/9/2023,6/9/2023,6/9/2023,Brooklyn,WESTERN,11,WESTERN,416,39.475302,-76.387272,"39.475302, -76.387272"
SR-100028,Open,Phone,Dirty Street,Dirty Street Request,4/28/2021,4/28/2021,4/28/2021,4/28/2021,Guilford,EASTERN,1,EASTERN,667,39.269593,-76.427879,"39.269593, -76.427879"
SR-100029,In Progress,Phone,Rat Rubout,Rat Rubout Request,4/4/2019,4/4/2019,4/4/2019,4/4/2019,Irvington,SOUTHERN,8,SOUTHERN,169,39.295387,-76.427428,"39.295387, -76.427428"
SR-100030,Closed,Phone,Illegal Dumping,Illegal Dumping Request,2/7/2020,2/7/2020,2/7/2020,2/7/2020,Middle East,NORTHWESTERN,9,NORTHWESTERN,752,39.288138,-76.320246,"39.288138, -76.320246"
SR-100031,Closed,Phone,Graffiti,Graffiti Request,6/21/2020,6/21/2020,6/21/2020,6/21/2020,Pigtown,CENTRAL,11,CENTRAL,142,39.225976,-76.329103,"39.225976, -76.329103"
SR-100032,In Progress,Phone,Pothole,Pothole Request,10/10/2021,10/10/2021,10/10/2021,10/10/2021,Brooklyn,NORTHERN,10,NORTHERN,389,39.373347,-76.550184,"39.373347, -76.550184"
SR-100033,Open,Phone,Dirty Street,Dirty Street Request,6/19/2020,6/19/2020,6/19/2020,6/19/2020,Upton,NORTHERN,1,NORTHERN,846,39.387457,-76.353869,"39.387457, -76.353869"
SR-100034,In Progress,Phone,Street Light Out,Street Light Out Request,4/18/2020,4/18/2020,4/18/2020,4/18/2020,Eastwood,NORTHWESTERN,7,NORTHWESTERN,540,39.403814,-76.303823,"39.403814, -76.303823"
SR-100035,In Progress,Phone,Rat Rubout,Rat Rubout Request,3/27/2022,3/27/2022,3/27/2022,3/27/2022,Harlem Park,CENTRAL,14,CENTRAL,172,39.373172,-76.503946,"39.373172, -76.503946"
SR-100036,Closed,Phone,Dirty Street,Dirty Street Request,1/21/2021,1/21/2021,1/21/2021,1/21/2021,Roland Park,NORTHWESTERN,9,NORTHWESTERN,323,39.383568,-76.307868,"39.383568, -76.307868"
SR-100037,In Progress,Phone,Dead Animal,Dead Animal Request,5/22/2021,5/22/2021,5/22/2021,5/22/2021,Berea,EASTERN,4,EASTERN,517,39.206404,-76.570024,"39.206404, -76.570024"
SR-100038,In Progress,Phone,Dirty Street,Dirty Street Request,11/7/2023,11/7/2023,11/7/2023,11/7/2023,Curtis Bay,NORTHWESTERN,12,NORTHWESTERN,108,39.461779,-76.354317,"39.461779, -76.354317"
SR-100039,Closed,Phone,Pothole,Pothole Request,4/17/2022,4/17/2022,4/17/2022,4/17/2022,Cherry Hill,EASTERN,5,EASTERN,672,39.341577,-76.495525,"39.341577, -76.495525"
SR-100040,Closed,Phone,Graffiti,Graffiti Request,2/8/2021,2/8/2021,2/8/2021,2/8/2021,Upton,WESTERN,7,WESTERN,157,39.223304,-76.459029,"39.223304, -76.459029"
SR-100041,Open,Phone,Street Light Out,Street Light Out Request,7/27/2022,7/27/2022,7/27/2022,7/27/2022,Park Heights,EASTERN,12,EASTERN,780,39.221443,-76.559021,"39.221443, -76.559021"
SR-100042,Closed,Phone,Dead Animal,Dead Animal Request,3/25/2023,3/25/2023,3/25/2023,3/25/2023,Berea,WESTERN,8,WESTERN,427,39.217723,-76.553174,"39.217723, -76.553174"
SR-100043,In Progress,Phone,Dirty Street,Dirty Street Request,1/12/2021,1/12/2021,1/12/2021,1/12/2021,Waverly,EASTERN,11,EASTERN,113,39.42572,-76.54429,"39.42572, -76.54429"
SR-100044,Open,Phone,Rat Rubout,Rat Rubout Request,7/15/2019,7/15/2019,7/15/2019,7/15/2019,Brooklyn,EASTERN,11,EASTERN,273,39.344652,-76.42161,"39.344652, -76.42161"
SR-100045,Closed,Phone,Parking Complaint,Parking Complaint Request,8/22/2023,8/22/2023,8/22/2023,8/22/2023,Pigtown,NORTHERN,8,NORTHERN,165,39.297089,-76.374805,"39.297089, -76.374805"
SR-100046,Open,Phone,Street Light Out,Street Light Out Request,10/27/2021,10/27/2021,10/27/2021,10/27/2021,Brooklyn,EASTERN,2,EASTERN,811,39.484408,-76.390596,"39.484408, -76.390596"
SR-100047,Open,Phone,Abandoned Vehicle,Abandoned Vehicle Request,4/15/2021,4/15/2021,4/15/2021,4/15/2021,Guilford,SOUTHERN,13,SOUTHERN,404,39.306633,-76.384247,"39.306633, -76.384247"
SR-100048,Open,Phone,Abandoned Vehicle,Abandoned Vehicle Request,9/5/2023,9/5/2023,9/5/2023,9/5/2023,Eastwood,NORTHERN,10,NORTHERN,687,39.41609,-76.403591,"39.41609, -76.403591"
SR-100049,Closed,Phone,Graffiti,Graffiti Request,9/12/2019,9/12/2019,9/12/2019,9/12/2019,Harlem Park,CENTRAL,7,CENTRAL,587,39.44568,-76.505598,"39.44568, -76.505598"
SR-100050,Open,Phone,Graffiti,Graffiti Request,9/28/2020,9/28/2020,9/28/2020,9/28/2020,Roland Park,NORTHWESTERN,12,NORTHWESTERN,530,39.29593,-76.471653,"39.29593, -76.471653"
SR-100051,Open,Phone,Rat Rubout,Rat Rubout Request,1/22/2021,1/22/2021,1/22/2021,1/22/2021,Oliver,NORTHEASTERN,4,NORTHEASTERN,616,39.202774,-76.417444,"39.202774, -76.417444"
SR-100052,Open,Phone,Parking Complaint,Parking Complaint Request,10/8/2019,10/8/2019,10/8/2019,10/8/2019,Guilford,NORTHWESTERN,13,NORTHWESTERN,596,39.297083,-76.58184,"39.297083, -76.58184"
SR-100053,In Progress,Phone,Vacant Building,Vacant Building Request,1/8/2022,1/8/2022,1/8/2022,1/8/2022,Park Heights,WESTERN,7,WESTERN,307,39.423966,-76.330015,"39.423966, -76.330015"
SR-100054,Closed,Phone,Dead Animal,Dead Animal Request,9/19/2020,9/19/2020,9/19/2020,9/19/2020,Pen Lucy,NORTHWESTERN,6,NORTHWESTERN,241,39.290196,-76.308529,"39.290196, -76.308529"
SR-100055,Open,Phone,Graffiti,Graffiti Request,8/2/2021,8/2/2021,8/2/2021,8/2/2021,Pigtown,NORTHERN,6,NORTHERN,839,39.295038,-76.335811,"39.295038, -76.335811"
SR-100056,Open,Phone,Dead Animal,Dead Animal Request,11/5/2023,11/5/2023,11/5/2023,11/5/2023,Oliver,NORTHERN,11,NORTHERN,307,39.360624,-76.597733,"39.360624, -76.597733"
SR-100057,Closed,Phone,Street Light Out,Street Light Out Request,11/24/2021,11/24/2021,11/24/2021,11/24/2021,Waverly,NORTHWESTERN,9,NORTHWESTERN,865,39.226602,-76.566969,"39.226602, -76.566969"
SR-100058,In Progress,Phone,Parking Complaint,Parking Complaint Request,12/23/2020,12/23/2020,12/23/2020,12/23/2020,Eastwood,EASTERN,12,EASTERN,356,39.374002,-76.461192,"39.374002, -76.461192"
SR-100059,Open,Phone,Pothole,Pothole Request,4/21/2020,4/21/2020,4/21/2020,4/21/2020,Oliver,EASTERN,11,EASTERN,385,39.262735,-76.433047,"39.262735, -76.433047"
SR-100060,Open,Phone,Rat Rubout,Rat Rubout Request,12/6/2022,12/6/2022,12/6/2022,12/6/2022,Oliver,WESTERN,4,WESTERN,225,39.228795,-76.302737,"39.228795, -76.302737"
SR-100061,In Progress,Phone,Vacant Building,Vacant Building Request,3/24/2020,3/24/2020,3/24/2020,3/24/2020,Waverly,WESTERN,3,WESTERN,818,39.227083,-76.361744,"39.227083, -76.361744"
SR-100062,Open,Phone,Abandoned Vehicle,Abandoned Vehicle Request,12/1/2023,12/1/2023,12/1/2023,12/1/2023,Curtis Bay,NORTHWESTERN,5,NORTHWESTERN,849,39.304555,-76.394439,"39.304555, -76.394439"
SR-100063,Open,Phone,Vacant Building,Vacant Building Request,5/11/2021,5/11/2021,5/11/2021,5/11/2021,Druid Heights,WESTERN,3,WESTERN,425,39.219327,-76.438253,"39.219327, -76.438253"
SR-100064,Closed,Phone,Pothole,Pothole Request,2/9/2020,2/9/2020,2/9/2020,2/9/2020,Berea,WESTERN,4,WESTERN,128,39.467162,-76.495853,"39.467162, -76.495853"
SR-100065,Open,Phone,Dead Animal,Dead Animal Request,3/14/2023,3/14/2023,3/14/2023,3/14/2023,Brooklyn,NORTHWESTERN,10,NORTHWESTERN,109,39.297915,-76.509171,"39.297915, -76.509171"
SR-100066,Open,Phone,Street Light Out,Street Light Out Request,9/13/2023,9/13/2023,9/13/2023,9/13/2023,Westport,EASTERN,9,EASTERN,698,39.230079,-76.351504,"39.230079, -76.351504"
SR-100067,Closed,Phone,Illegal Dumping,Illegal Dumping Request,2/7/2020,2/7/2020,2/7/2020,2/7/2020,Pen Lucy,EASTERN,14,EASTERN,652,39.217905,-76.474652,"39.217905, -76.474652"
SR-100068,In Progress,Phone,Dead Animal,Dead Animal Request,7/10/2021,7/10/2021,7/10/2021,7/10/2021,Greenmount West,WESTERN,11,WESTERN,796,39.289417,-76.48402,"39.289417, -76.48402"
SR-100069,Closed,Phone,Dirty Street,Dirty Street Request,3/7/2023,3/7/2023,3/7/2023,3/7/2023,Middle East,NORTHERN,8,NORTHERN,281,39.251,-76.49155,"39.251, -76.49155"
SR-100070,In Progress,Phone,Dead Animal,Dead Animal Request,7/15/2021,7/15/2021,7/15/2021,7/15/2021,Middle East,WESTERN,4,WESTERN,349,39.317879,-76.57659,"39.317879, -76.57659"
SR-100071,Closed,Phone,Graffiti,Graffiti Request,5/13/2023,5/13/2023,5/13/2023,5/13/2023,Sandtown-Winchester,NORTHERN,3,NORTHERN,626,39.340727,-76.376734,"39.340727, -76.376734"
SR-100072,Open,Phone,Vacant Building,Vacant Building Request,4/23/2020,4/23/2020,4/23/2020,4/23/2020,Charles Village,NORTHEASTERN,13,NORTHEASTERN,390,39.3826,-76.44533,"39.3826, -76.44533"
SR-100073,Closed,Phone,Graffiti,Graffiti Request,5/19/2022,5/19/2022,5/19/2022,5/19/2022,Waverly,CENTRAL,5,CENTRAL,767,39.329932,-76.300378,"39.329932, -76.300378"
SR-100074,Closed,Phone,Graffiti,Graffiti Request,4/4/2019,4/4/2019,4/4/2019,4/4/2019,Pen Lucy,NORTHWESTERN,7,NORTHWESTERN,541,39.316457,-76.529539,"39.316457, -76.529539"
SR-100075,Open,Phone,Illegal Dumping,Illegal Dumping Request,9/9/2020,9/9/2020,9/9/2020,9/9/2020,Cherry Hill,NORTHERN,1,NORTHERN,646,39.291808,-76.512969,"39.291808, -76.512969"
SR-100076,Open,Phone,Abandoned Vehicle,Abandoned Vehicle Request,10/28/2022,10/28/2022,10/28/2022,10/28/2022,Clifton Park,SOUTHERN,2,SOUTHERN,882,39.248852,-76.427519,"39.248852, -76.427519"
SR-100077,In Progress,Phone,Parking Complaint,Parking Complaint Request,9/10/2019,9/10/2019,9/10/2019,9/10/2019,Homeland,NORTHEASTERN,13,NORTHEASTERN,524,39.22394,-76.485205,"39.22394, -76.485205"
SR-100078,Open,Phone,Pothole,Pothole Request,3/28/2019,3/28/2019,3/28/2019,3/28/2019,Guilford,NORTHEASTERN,11,NORTHEASTERN,206,39.288858,-76.422659,"39.288858, -76.422659"
SR-100079,Closed,Phone,Rat Rubout,Rat Rubout Request,11/11/2023,11/11/2023,11/11/2023,11/11/2023,Johnston Square,SOUTHERN,14,SOUTHERN,836,39.448793,-76.412722,"39.448793, -76.412722"
SR-100080,Closed,Phone,Pothole,Pothole Request,5/9/2020,5/9/2020,5/9/2020,5/9/2020,Govans,NORTHERN,9,NORTHERN,657,39.324924,-76.412054,"39.324924, -76.412054"
SR-100081,Closed,Phone,Graffiti,Graffiti Request,4/28/2022,4/28/2022,4/28/2022,4/28/2022,Westport,SOUTHERN,3,SOUTHERN,799,39.329172,-76.583207,"39.329172, -76.583207"
SR-100082,Closed,Phone,Illegal Dumping,Illegal Dumping Request,9/19/2020,9/19/2020,9/19/2020,9/19/2020,Pigtown,NORTHWESTERN,14,NORTHWESTERN,114,39.279823,-76.523727,"39.279823, -76.523727"
SR-100083,In Progress,Phone,Street Light Out,Street Light Out Request,11/1/2019,11/1/2019,11/1/2019,11/1/2019,Johnston Square,NORTHEASTERN,6,NORTHEASTERN,124,39.426785,-76.415037,"39.426785, -76.415037"
SR-100084,In Progress,Phone,Pothole,Pothole Request,6/21/2019,6/21/2019,6/21/2019,6/21/2019,Cherry Hill,NORTHWESTERN,2,NORTHWESTERN,358,39.45216,-76.469884,"39.45216, -76.469884"
SR-100085,Closed,Phone,Graffiti,Graffiti Request,4/22/2020,4/22/2020,4/22/2020,4/22/2020,Berea,SOUTHERN,8,SOUTHERN,688,39.349885,-76.575826,"39.349885, -76.575826"
SR-100086,Closed,Phone,Abandoned Vehicle,Abandoned Vehicle Request,5/24/2021,5/24/2021,5/24/2021,5/24/2021,Charles Village,SOUTHERN,9,SOUTHERN,811,39.368872,-76.360108,"39.368872, -76.360108"
SR-100087,Closed,Phone,Abandoned Vehicle,Abandoned Vehicle Request,3/6/2023,3/6/2023,3/6/2023,3/6/2023,Cherry Hill,SOUTHERN,9,SOUTHERN,173,39.352294,-76.398558,"39.352294, -76.398558"
SR-100088,In Progress,Phone,Illegal Dumping,Illegal Dumping Request,1/17/2020,1/17/2020,1/17/2020,1/17/2020,Pimlico,NORTHERN,14,NORTHERN,501,39.241608,-76.346577,"39.241608, -76.346577"
SR-100089,In Progress,Phone,Parking Complaint,Parking Complaint Request,3/14/2019,3/14/2019,3/14/2019,3/14/2019,Berea,NORTHEASTERN,14,NORTHEASTERN,435,39.249873,-76.310542,"39.249873, -76.310542"
SR-100090,In Progress,Phone,Abandoned Vehicle,Abandoned Vehicle Request,12/8/2022,12/8/2022,12/8/2022,12/8/2022,Charles Village,NORTHEASTERN,2,NORTHEASTERN,337,39.283567,-76.324588,"39.283567, -76.324588"
SR-100091,Closed,Phone,Abandoned Vehicle,Abandoned Vehicle Request,4/2/2021,4/2/2021,4/2/2021,4/2/2021,Roland Park,WESTERN,3,WESTERN,598,39.309612,-76.377439,"39.309612, -76.377439"
SR-100092,Closed,Phone,Rat Rubout,Rat Rubout Request,3/26/2022,3/26/2022,3/26/2022,3/26/2022,Pigtown,WESTERN,5,WESTERN,148,39.269106,-76.311915,"39.269106, -76.311915"
SR-100093,Open,Phone,Illegal Dumping,Illegal Dumping Request,8/21/2020,8/21/2020,8/21/2020,8/21/2020,Charles Village,CENTRAL,10,CENTRAL,372,39.277067,-76.421163,"39.277067, -76.421163"
SR-100094,In Progress,Phone,Pothole,Pothole Request,6/24/2023,6/24/2023,6/24/2023,6/24/2023,Belair-Edison,NORTHERN,9,NORTHERN,520,39.257323,-76.304398,"39.257323, -76.304398"
SR-100095,Open,Phone,Dead Animal,Dead Animal Request,5/18/2019,5/18/2019,5/18/2019,5/18/2019,Clifton Park,SOUTHERN,1,SOUTHERN,627,39.448846,-76.422765,"39.448846, -76.422765"
SR-100096,Open,Phone,Rat Rubout,Rat Rubout Request,6/2/2019,6/2/2019,6/2/2019,6/2/2019,Park Heights,NORTHERN,6,NORTHERN,698,39.456482,-76.401763,"39.456482, -76.401763"
SR-100097,Closed,Phone,Dead Animal,Dead Animal Request,2/18/2021,2/18/2021,2/18/2021,2/18/2021,Sandtown-Winchester,NORTHERN,1,NORTHERN,729,39.339987,-76.548881,"39.339987, -76.548881"
SR-100098,Open,Phone,Dirty Street,Dirty Street Request,5/9/2021,5/9/2021,5/9/2021,5/9/2021,Harlem Park,EASTERN,12,EASTERN,173,39.407262,-76.4296,"39.407262, -76.4296"
SR-100099,In Progress,Phone,Pothole,Pothole Request,5/28/2022,5/28/2022,5/28/2022,5/28/2022,Oliver,NORTHEASTERN,6,NORTHEASTERN,503,39.208869,-76.386992,"39.208869, -76.386992"
SR-100100,In Progress,Phone,Parking Complaint,Parking Complaint Request,12/9/2023,12/9/2023,12/9/2023,12/9/2023,Middle East,CENTRAL,13,CENTRAL,313,39.298866,-76.319971,"39.298866, -76.319971"
SR-100101,Open,Phone,Parking Complaint,Parking Complaint Request,10/13/2021,10/13/2021,10/13/2021,10/13/2021,Oliver,SOUTHERN,4,SOUTHERN,503,39.483689,-76.467255,"39.483689, -76.467255"
SR-100102,Open,Phone,Vacant Building,Vacant Building Request,5/28/2019,5/28/2019,5/28/2019,5/28/2019,Govans,CENTRAL,2,CENTRAL,656,39.231061,-76.597996,"39.231061, -76.597996"
SR-100103,Closed,Phone,Rat Rubout,Rat Rubout Request,9/20/2022,9/20/2022,9/20/2022,9/20/2022,Sandtown-Winchester,NORTHWESTERN,14,NORTHWESTERN,235,39.391822,-76.493323,"39.391822, -76.493323"
SR-100104,Closed,Phone,Vacant Building,Vacant Building Request,11/10/2023,11/10/2023,11/10/2023,11/10/2023,Waverly,WESTERN,6,WESTERN,219,39.264784,-76.52588,"39.264784, -76.52588"
SR-100105,In Progress,Phone,Illegal Dumping,Illegal Dumping Request,7/20/2020,7/20/2020,7/20/2020,7/20/2020,Govans,NORTHEASTERN,3,NORTHEASTERN,806,39.344945,-76.467653,"39.344945, -76.467653"
SR-100106,In Progress,Phone,Pothole,Pothole Request,9/10/2022,9/10/2022,9/10/2022,9/10/2022,Hampden,EASTERN,7,EASTERN,301,39.265109,-76.37783,"39.265109, -76.37783"
SR-100107,Open,Phone,Abandoned Vehicle,Abandoned Vehicle Request,2/15/2023,2/15/2023,2/15/2023,2/15/2023,Govans,EASTERN,2,EASTERN,354,39.278487,-76.405742,"39.278487, -76.405742"
SR-100108,Closed,Phone,Dirty Street,Dirty Street Request,7/9/2022,7/9/2022,7/9/2022,7/9/2022,Park Heights,NORTHWESTERN,4,NORTHWESTERN,874,39.448989,-76.315956,"39.448989, -76.315956"
SR-100109,Open,Phone,Dead Animal,Dead Animal Request,4/20/2019,4/20/2019,4/20/2019,4/20/2019,Irvington,NORTHWESTERN,12,NORTHWESTERN,506,39.379825,-76.559305,"39.379825, -76.559305"
SR-100110,Closed,Phone,Dirty Street,Dirty Street Request,6/7/2023,6/7/2023,6/7/2023,6/7/2023,Harlem Park,WESTERN,4,WESTERN,397,39.441738,-76.348995,"39.441738, -76.348995"
SR-100111,Open,Phone,Dirty Street,Dirty Street Request,2/3/2019,2/3/2019,2/3/2019,2/3/2019,Pen Lucy,NORTHERN,12,NORTHERN,411,39.442904,-76.453349,"39.442904, -76.453349"
SR-100112,Closed,Phone,Street Light Out,Street Light Out Request,12/16/2021,12/16/2021,12/16/2021,12/16/2021,Johnston Square,SOUTHERN,13,SOUTHERN,702,39.456864,-76.588918,"39.456864, -76.588918"
SR-100113,In Progress,Phone,Graffiti,Graffiti Request,7/15/2023,7/15/2023,7/15/2023,7/15/2023,Irvington,NORTHEASTERN,13,NORTHEASTERN,498,39.380946,-76.490622,"39.380946, -76.490622"
SR-100114,Closed,Phone,Dirty Street,Dirty Street Request,8/15/2023,8/15/2023,8/15/2023,8/15/2023,Mount Washington,SOUTHERN,1,SOUTHERN,779,39.315484,-76.366061,"39.315484, -76.366061"
SR-100115,Open,Phone,Dead Animal,Dead Animal Request,1/11/2021,1/11/2021,1/11/2021,1/11/2021,Brooklyn,NORTHERN,14,NORTHERN,846,39.472557,-76.47956,"39.472557, -76.47956"
SR-100116,In Progress,Phone,Pothole,Pothole Request,9/28/2019,9/28/2019,9/28/2019,9/28/2019,Morrell Park,NORTHEASTERN,11,NORTHEASTERN,608,39.288001,-76.567148,"39.288001, -76.567148"
SR-100117,Open,Phone,Dead Animal,Dead Animal Request,10/21/2022,10/21/2022,10/21/2022,10/21/2022,Roland Park,SOUTHERN,3,SOUTHERN,206,39.209509,-76.343354,"39.209509, -76.343354"
SR-100118,In Progress,Phone,Street Light Out,Street Light Out Request,11/26/2023,11/26/2023,11/26/2023,11/26/2023,Roland Park,CENTRAL,11,CENTRAL,836,39.398527,-76.359437,"39.398527, -76.359437"
SR-100119,Open,Phone,Rat Rubout,Rat Rubout Request,2/13/2023,2/13/2023,2/13/2023,2/13/2023,Greenmount West,WESTERN,4,WESTERN,415,39.338778,-76.53052,"39.338778, -76.53052"
SR-100120,In Progress,Phone,Illegal Dumping,Illegal Dumping Request,1/9/2019,1/9/2019,1/9/2019,1/9/2019,Charles Village,NORTHEASTERN,12,NORTHEASTERN,529,39.331896,-76.43322,"39.331896, -76.43322"
SR-100121,Open,Phone,Abandoned Vehicle,Abandoned Vehicle Request,7/11/2020,7/11/2020,7/11/2020,7/11/2020,Johnston Square,NORTHEASTERN,3,NORTHEASTERN,888,39.364765,-76.579997,"39.364765, -76.579997"
SR-100122,Open,Phone,Rat Rubout,Rat Rubout Request,3/28/2019,3/28/2019,3/28/2019,3/28/2019,Morrell Park,NORTHERN,9,NORTHERN,475,39.387138,-76.34564,"39.387138, -76.34564"
SR-100123,In Progress,Phone,Dirty Street,Dirty Street Request,5/19/2020,5/19/2020,5/19/2020,5/19/2020,Hampden,CENTRAL,1,CENTRAL,753,39.219194,-76.336244,"39.219194, -76.336244"
SR-100124,Open,Phone,Rat Rubout,Rat Rubout Request,12/23/2019,12/23/2019,12/23/2019,12/23/2019,Middle East,SOUTHERN,4,SOUTHERN,576,39.433516,-76.3373,"39.433516, -76.3373"
SR-100125,Open,Phone,Dead Animal,Dead Animal Request,12/26/2019,12/26/2019,12/26/2019,12/26/2019,Pen Lucy,NORTHWESTERN,2,NORTHWESTERN,642,39.33672,-76.475102,"39.33672, -76.475102"
SR-100126,Closed,Phone,Street Light Out,Street Light Out Request,7/16/2023,7/16/2023,7/16/2023,7/16/2023,Park Heights,SOUTHERN,10,SOUTHERN,361,39.446474,-76.469438,"39.446474, -76.469438"
